ID,EAN,Name,Width,Length,Height,Frame width,Folded up height,Folded up projection,Folded down projection,Frame distance from ground,Mounting frame height,Maximum mattress depth,Orientation,Type,Color,Weight,Stock,Package Dimensions,Price GBP,Price EURO,Price USD,Sale Percent,Sale Fix GBP,Sale Fix EURO,Sale Fix USD,Sale Price GBP,Sale Price EURO,Sale Price USD,Category,Backorder,Visibility,Warranty,Description,Product Images,Product Image Alt,Slug,Meta Title,Meta Description
11,5088553776299,Super King Vertical Classic Bed,1800,2000,,1920,2150,410,2260,204,510,300,Vertical,Classic,Black,,100,,1199,,,30,,,,839,,,Base Beds > Vertical > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Super King Vertical Classic Bed 180x200 Black,super-king-vertical-classic-bed-180x200,Super King Vertical Classic Bed 180x200,"Super King Vertical Classic Bed 180x200 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms an Shop now!"
12,5082103963853,Small Single Horizontal Classic Bed,1900,760,,2000,900,410,1030,204,510,300,Horizontal,Classic,Black,,100,,599,,,30,,,,419,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Small Single Horizontal Classic Bed 190x76 Black,small-single-horizontal-classic-bed-190x76,Small Single Horizontal Classic Bed 190x76,"Small Single Horizontal Classic Bed 190x76 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms Shop now!"
13,5042978657746,Single Horizontal Classic Bed,1900,900,,2000,1050,410,1170,204,510,300,Horizontal,Classic,Black,,100,,749,,,30,,,,524,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Single Horizontal Classic Bed 190x90 Black,single-horizontal-classic-bed-190x90,Single Horizontal Classic Bed 190x90,"Single Horizontal Classic Bed 190x90 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and m Shop now!"
14,5086666274410,European Single Horizontal Classic Bed,2000,900,,2100,1050,410,1170,204,510,300,Horizontal,Classic,Black,,100,,749,,,30,,,,524,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Single Horizontal Classic Bed 200x90 Black,european-single-horizontal-classic-bed-200x90,European Single Horizontal Classic Bed 200x90,"European Single Horizontal Classic Bed 200x90 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest ro Shop now!"
15,5072342233020,Small Double Horizontal Classic Bed,1900,1200,,2000,1340,410,1460,204,510,300,Horizontal,Classic,Black,,100,,849,,,30,,,,594,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Small Double Horizontal Classic Bed 190x120 Black,small-double-horizontal-classic-bed-190x120,Small Double Horizontal Classic Bed 190x120,"Small Double Horizontal Classic Bed 190x120 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest room Shop now!"
16,5049313945072,European Small Double Horizontal Classic Bed,2000,1200,,2100,1350,410,1450,204,510,300,Horizontal,Classic,Black,,100,,849,,,30,,,,594,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Small Double Horizontal Classic Bed 200x120 Black,european-small-double-horizontal-classic-bed-200x120,European Small Double Horizontal Classic Bed 200x120,"European Small Double Horizontal Classic Bed 200x120 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, g Shop now!"
17,5019436114703,Double Horizontal Classic Bed,1900,1350,,2000,1500,410,1610,204,510,300,Horizontal,Classic,Black,,100,,899,,,30,,,,629,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Double Horizontal Classic Bed 190x135 Black,double-horizontal-classic-bed-190x135,Double Horizontal Classic Bed 190x135,"Double Horizontal Classic Bed 190x135 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and  Shop now!"
18,5012413500751,European Double Horizontal Classic Bed,1900,1400,,2000,1550,410,1650,204,510,300,Horizontal,Classic,Black,,100,,899,,,30,,,,629,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Double Horizontal Classic Bed 190x140 Black,european-double-horizontal-classic-bed-190x140,European Double Horizontal Classic Bed 190x140,"European Double Horizontal Classic Bed 190x140 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest r Shop now!"
19,5051723053536,European Double Long Horizontal Classic Bed,2000,1400,,2100,1550,410,1650,204,510,300,Horizontal,Classic,Black,,100,,949,,,30,,,,664,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European Double Long Horizontal Classic Bed 200x140 Black,european-double-long-horizontal-classic-bed-200x140,European Double Long Horizontal Classic Bed 200x140,"European Double Long Horizontal Classic Bed 200x140 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, gu Shop now!"
20,5069302273785,King Horizontal Classic Bed,2000,1500,,2100,1650,410,1780,204,510,300,Horizontal,Classic,Black,,100,,999,,,30,,,,699,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,King Horizontal Classic Bed 200x150 Black,king-horizontal-classic-bed-200x150,King Horizontal Classic Bed 200x150,"King Horizontal Classic Bed 200x150 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and mu Shop now!"
21,5017564300526,European King Horizontal Classic Bed,2000,1600,,2100,1750,410,1850,204,510,300,Horizontal,Classic,Black,,100,,999,,,30,,,,699,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,European King Horizontal Classic Bed 200x160 Black,european-king-horizontal-classic-bed-200x160,European King Horizontal Classic Bed 200x160,"European King Horizontal Classic Bed 200x160 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest roo Shop now!"
22,5038907828627,Super King Horizontal Classic Bed,2000,1800,,2100,1950,410,2080,204,510,300,Horizontal,Classic,Black,,100,,1199,,,30,,,,839,,,Base Beds > Horizontal > Classic,TRUE,Visible,Lifetime on mechanism,"The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms and multifunctional spaces. Its strong steel frame and smooth gas-assisted lifting mechanism make it easy to open and close, while the fold-away design helps free up valuable floor space during the day. Suitable for regular everyday use, it can be paired with a standard mattress up to approximately 30 cm thick for comfortable, flexible sleeping.",,Super King Horizontal Classic Bed 200x180 Black,super-king-horizontal-classic-bed-200x180,Super King Horizontal Classic Bed 200x180,"Super King Horizontal Classic Bed 200x180 - The Classic Wall Bed is a practical and durable space-saving solution for bedrooms, guest rooms  Shop now!"
23,5021616292614,Small Single Vertical Studio Bed,760,1900,,880,2060,410,2210,204,510,300,Vertical,Studio,Black,,100,,999,,,30,,,,699,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Small Single Vertical Studio Bed 76x190 Black,small-single-vertical-studio-bed-76x190,Small Single Vertical Studio Bed 76x190,Small Single Vertical Studio Bed 76x190 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. I Shop now!
24,5036012381319,Single Vertical Studio Bed,900,1900,,1020,2060,410,2210,204,510,300,Vertical,Studio,Black,,100,,1099,,,30,,,,769,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Single Vertical Studio Bed 90x190 Black,single-vertical-studio-bed-90x190,Single Vertical Studio Bed 90x190,Single Vertical Studio Bed 90x190 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its cle Shop now!
25,5078559226599,European Single Vertical Studio Bed,900,2000,,1020,2160,410,2310,204,510,300,Vertical,Studio,Black,,100,,1149,,,30,,,,804,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,European Single Vertical Studio Bed 90x200 Black,european-single-vertical-studio-bed-90x200,European Single Vertical Studio Bed 90x200,European Single Vertical Studio Bed 90x200 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality Shop now!
26,5055345224809,Small Double Vertical Studio Bed,1200,1900,,1320,2050,410,2180,204,510,300,Vertical,Studio,Black,,100,,1199,,,30,,,,839,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Small Double Vertical Studio Bed 120x190 Black,small-double-vertical-studio-bed-120x190,Small Double Vertical Studio Bed 120x190,Small Double Vertical Studio Bed 120x190 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality.  Shop now!
27,5052770130143,European Small Double Vertical Studio Bed,1200,2000,,1320,2150,410,2280,204,510,300,Vertical,Studio,Black,,100,,1249,,,30,,,,874,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,European Small Double Vertical Studio Bed 120x200 Black,european-small-double-vertical-studio-bed-120x200,European Small Double Vertical Studio Bed 120x200,European Small Double Vertical Studio Bed 120x200 - The Studio Wall Bed combines modern minimalist design with practical space-saving functi Shop now!
28,5007171928621,Double Vertical Studio Bed,1350,1900,,1470,2060,410,2210,204,510,300,Vertical,Studio,Black,,100,,1299,,,30,,,,909,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Double Vertical Studio Bed 135x190 Black,double-vertical-studio-bed-135x190,Double Vertical Studio Bed 135x190,Double Vertical Studio Bed 135x190 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its cl Shop now!
29,5021356931643,European Double Vertical Studio Bed,1400,1900,,1520,2060,410,2210,204,510,300,Vertical,Studio,Black,,100,,1299,,,30,,,,909,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,European Double Vertical Studio Bed 140x190 Black,european-double-vertical-studio-bed-140x190,European Double Vertical Studio Bed 140x190,European Double Vertical Studio Bed 140x190 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionalit Shop now!
30,5069304827908,European Double Long Vertical Studio Bed,1400,2000,,1520,2160,410,2310,204,510,300,Vertical,Studio,Black,,100,,1399,,,30,,,,979,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,European Double Long Vertical Studio Bed 140x200 Black,european-double-long-vertical-studio-bed-140x200,European Double Long Vertical Studio Bed 140x200,European Double Long Vertical Studio Bed 140x200 - The Studio Wall Bed combines modern minimalist design with practical space-saving functio Shop now!
31,5034225285536,King Vertical Studio Bed,1500,2000,,1620,2160,410,2310,204,510,300,Vertical,Studio,Black,,100,,1399,,,30,,,,979,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,King Vertical Studio Bed 150x200 Black,king-vertical-studio-bed-150x200,King Vertical Studio Bed 150x200,King Vertical Studio Bed 150x200 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clea Shop now!
32,5040738516581,European King Vertical Studio Bed,1600,2000,,1720,2160,410,2310,204,510,300,Vertical,Studio,Black,,100,,1499,,,30,,,,1049,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,European King Vertical Studio Bed 160x200 Black,european-king-vertical-studio-bed-160x200,European King Vertical Studio Bed 160x200,European King Vertical Studio Bed 160x200 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Shop now!
33,5089216685848,Super King Vertical Studio Bed,1800,2000,,1920,2160,410,2310,204,510,300,Vertical,Studio,Black,,100,,1599,,,30,,,,1119,,,Base Beds > Vertical > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Super King Vertical Studio Bed 180x200 Black,super-king-vertical-studio-bed-180x200,Super King Vertical Studio Bed 180x200,Super King Vertical Studio Bed 180x200 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. It Shop now!
34,5019733552140,Small Single Horizontal Studio Bed,1900,760,,2010,910,410,970,204,510,300,Horizontal,Studio,Black,,100,,999,,,30,,,,699,,,Base Beds > Horizontal > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Small Single Horizontal Studio Bed 190x76 Black,small-single-horizontal-studio-bed-190x76,Small Single Horizontal Studio Bed 190x76,Small Single Horizontal Studio Bed 190x76 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Shop now!
35,5096057576928,Single Horizontal Studio Bed,1900,900,,2010,1050,410,1210,204,510,300,Horizontal,Studio,Black,,100,,1099,,,30,,,,769,,,Base Beds > Horizontal > Studio,TRUE,Visible,Lifetime on mechanism,"The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its clean open-frame construction folds neatly against the wall without the need for a traditional cabinet, making it ideal for apartments, studios, guest rooms and home offices. A gas-assisted lifting mechanism ensures smooth operation, while compatibility with standard mattresses up to approximately 30 cm thick allows you to choose the comfort level that suits you best.",,Single Horizontal Studio Bed 190x90 Black,single-horizontal-studio-bed-190x90,Single Horizontal Studio Bed 190x90,Single Horizontal Studio Bed 190x90 - The Studio Wall Bed combines modern minimalist design with practical space-saving functionality. Its c Shop now!
